Bogen;Segmentierte Handschrift;Segmentierte Handschrift;Ich stimme der Datenverarbeitung sowie der Datenweitergabe für Lehrforschungszwecke und die Verbesserung der Lehre an der Medizinischen Fakultät der Universität Ulm zu.;Q9-Skripte, digitale Nutzung;Q9-Skripte, Papierdruck;Lehrbuch/-bücher Wenn ja, welches Lehrbuch nutzen Sie primär? ____________________________________________;Leitlinien der Fachgesellschaften (im Original);Anki-Lernkarten (bereitgestellt durch Institut für klin. Pharmakologie);Anki-Lernkarten (selbst oder anderweitig erstellt);Aufgaben/Patientenfälle auf Moodle;Testfragen auf Moodle;andere: ____________________________________________;2. Wie kann Ihre grundsätzliche Haltung gegenüber E-Learning-Angeboten beschrieben werden?;Lernskripte;zeitunabhängig angebotene Vorlesungs- und Seminarvideos;Online-Live-Veranstaltungen an bestimmten Terminen (z.B. über Zoom);Präsenzveranstaltungen an bestimmten Terminen;Aufgaben zur eigenständigen Bearbeitung (mit Lösung);Testfragen zu den Lerninhalten;Anki-Lernkarten (bereitgestellt durch Institut für klinische Pharmakologie);Anki-Lernkarten (selbst oder anderweitig erstellt);alle sind gleich nützlich;4. Welche Form der Lehre würden Sie in Zukunft bevorzugen?;5. Haben Sie die Anki-Lernkarten Klinische Pharmakologie genutzt?;6. Haben Sie die Anki-Lernkarten als Lernmaterial als hilfreich empfunden?;7. In welchem Umfang haben Sie die Anki-Lernkarten verwendet?;Installation des Programms(Zeit in Stunden):                                       ;Einarbeiten/Lesen der Bedienungsanleitung (Zeit in Stunden):;Lernen mit Anki-Lernkarten (durchschnittliche Stunden pro Woche, innerhalb der letzten 6 Monate):;semesterbegleitend ;zur Prüfungsvorbereitung;in speziellen Situationen, z.B. im Bus/Zug;Sonstiges: ____________________;PC;Laptop;Tablet;Handy;Ich hatte nicht ausreichend Zeit dazu. ;Die Lernkarten haben mich nicht interessiert.;Das bestehende Angebot an Lehrmaterialien war für mich ausreichend.;Die Installation der Software und/oder die Auseinandersetzung mit der Bedienungsanleitung waren mir zu aufwändig.;Ich wusste nicht, dass es die Lernkarten gibt.;Ich nutze eigene Lernkarten.;Sonstige Gründe: ______________________________________;12. Sollten Ihrer Meinung nach Anki-Lernkarten in Zukunft weiter angeboten werden?;13. Haben Sie Anmerkungen zu den Anki-Lernkarten? Haben Sie Anmerkungen zum Q9-Unterricht?;14. Wie schätzen Sie Ihre Studienleistung  insgesamt im Vergleich zu anderen Studierenden Ihres Semesters ein?;15. Wie schätzen Sie Ihre Studienleistung  im Fach Klinische Pharmakologie im Vergleich zu anderen Studierenden Ihres Semesters ein?;Nein, nicht wesentlich.;Ja, ich habe seitdem weniger Zeit mit studienbezogenen Tätigkeiten (z.B. Lernen) verbracht als zuvor.;Ja, ich habe seitdem mehr Zeit mit studienbezogenen Tätigkeiten (z.B. Lernen) verbracht als zuvor.;Ja, ich verwende seitdem mehr E-Learning-Tools als vorher.;Ja, ich lerne seitdem weniger gemeinsam mit Kommilitonen/in Lerngruppen als vorher.;Ja, ich lerne seitdem mehr gemeinsam mit Kommilitonen/in Lerngruppen als vorher.;Sonstige Veränderungen: ______________________________________;Wie alt sind Sie (in Jahren)?;Bitte geben Sie Ihr Geschlecht an:;Datensatz-Ursprung;exam score
99;AN   19;PE   15;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;0;3;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];;;;;;;;;;;;P;16
84;AN   21;VA   06;1;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;0;0;0;2;1;2;2;~~1;0,2;Z;0;1;0;0;0;1;0;0;;;;;;;;1;[LEER];3;3;1;0;0;0;0;0;0;ZZ;1;P;16
48;AN   22;RA   30;1;1;1;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;1;0;;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];4;4;1;0;0;0;0;0;0;Z5;2;P;27
112;AN   23;BE   09;1;1;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;3;2;;;;;;;;;;;;;;0;0;1;0;0;0;1;1;[LEER];3;3;1;0;0;0;0;0;0;ZZ;1;P;20
132;AN   23;MA   07;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;2;2;;O;O;D;;;;;;;;;0;1;1;0;0;0;0;1;[LEER];3;3;0;1;0;1;0;0;0;Z4;2;P;21
200;AN   23;RA   19;1;1;0;1;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;0;3;2;;;;;;;;;;;;;;1;0;1;0;0;0;0;;[LEER];4;3;0;0;0;1;1;0;0;ZZ;1;P;24
56;AN   25;TH   03;1;1;0;0;1;0;0;1;0;0;1;1;1;0;0;1;0;0;0;0;2;2;;;;;;;;;;;;;;1;0;0;0;0;1;0;1;[LEER];3;3;0;0;0;1;0;1;0;Z4;1;P;20
194;AN   25;HU   19;1;1;0;0;0;1;0;1;0;0;1;1;0;0;1;0;1;0;0;0;1;1;1;2;OP5;ODT;Z;1;0;0;0;0;0;1;0;;;;;;;;1;[LEER];3;3;0;0;1;0;0;0;0;ZZ;1;P;18
203;AN   30;GU   20;1;1;1;0;1;0;0;1;1;0;1;1;1;0;0;1;1;0;0;0;3;2;;;;;;;;;;;;;;0;0;1;0;0;0;1;1;[LEER];3;2;1;0;0;0;0;0;0;ZZ;2;P;21
155;AN   31;MA   18;1;1;0;1;0;0;0;1;0;0;1;1;1;1;1;1;1;0;0;0;3;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];3;3;1;0;0;0;0;0;0;Z4;1;P;20
82;BA   01;VO   02;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;0;3;2;;;.;;;;;;;;;;;1;0;1;0;0;0;0;1;[LEER];3;3;0;0;0;1;0;0;0;ZZ;2;P;19
41;BA   03;FR   29;1;1;1;0;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;0;3;2;;;;;;;;;;;;;;0;1;0;0;0;0;0;1;[LEER];3;3;1;0;0;0;0;0;0;ZZ;1;P;20
11;BA   10;FR   12;1;1;1;0;1;0;0;1;0;0;1;1;1;0;0;1;1;1;0;0;3;2;2;;;;;;;;;;;;;0;0;0;1;0;0;1;1;[LEER];4;4;1;0;0;0;0;0;0;Z4;1;P;27
183;BA   24;JO   01;1;1;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;3;1;1;1;O;O;Z;1;1;0;0;0;0;1;0;;;;;;;;1;[LEER];3;3;0;0;1;0;0;0;0;ZY;1;P;21
137;BA   30;LV   25;1;1;0;0;1;1;1;1;0;0;1;1;1;0;0;1;0;1;1;0;3;1;1;2;IO;5;;0;1;0;0;0;1;1;0;;;;;;;;;[LEER];2;2;0;0;0;1;0;1;0;Z7;1;P;21
109;BE   05;OL   11;1;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;1;0;0;3;2;;;;;;;;;;;;;;0;0;1;0;0;0;0;1;[LEER];3;3;0;0;1;1;1;0;0;ZZ;1;P;23
100;BE   20;BE   27;1;1;0;0;0;0;0;1;1;0;1;1;0;0;1;1;1;0;0;0;3;2;;;;;;;;;;;;;;0;0;0;0;0;0;1;;[LEER];4;3;1;0;0;0;0;0;0;Z4;1;P;26
136;BI   03;BE   26;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;1;0;1;0;0;0;0;1;[LEER];4;3;0;0;1;1;0;1;0;ZZ;1;P;21
129;BI   10;TA   10;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;3;;2;3;;;;1;0;0;0;0;0;0;1;;;;;;;;1;[LEER];3;3;0;0;0;1;0;0;0;ZZ;1;P;18
26;BI   31;HA   13;1;1;0;0;1;0;1;0;1;0;1;1;0;0;0;1;1;0;0;0;1;1;1;2;;;;0;1;0;0;0;0;1;0;;;;;;;;1;[LEER];3;3;0;0;1;1;0;0;0;Z4;2;P;19
35;BR   02;AX   18;1;1;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;2;2;;;;;;;;;;;;;;0;0;1;0;0;0;0;1;[LEER];4;4;0;0;0;1;0;0;0;ZZ;2;P;25
119;BR   11;OL   30;1;1;0;0;1;1;0;1;1;1;1;1;1;0;1;1;1;1;0;0;3;1;1;1;OIS;O\5;6;0;1;0;0;0;0;1;0;;;;;;;;1;[LEER];3;3;0;0;0;0;1;0;0;Z9;2;P;15
222;BR   29;AR   31;1;1;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;2;1;1;1;OOO;OOO;OO1;0;1;1;0;0;1;1;1;;;;;;;;1;[LEER];3;3;0;1;0;0;0;1;0;ZZ;1;P;24
214;CA   02;MI   14;1;1;0;0;0;1;1;1;1;0;1;1;1;0;1;1;0;1;1;0;3;1;1;2;1;1;28;1;0;0;0;0;1;1;1;;;;;;;;1;[LEER];4;4;0;0;1;1;0;0;0;ZZ;1;P;28
145;CA   14;AL   01;1;0;1;0;0;0;1;1;0;1;1;0;0;0;0;1;1;0;1;0;3;2;;;;;;;;;;;;;;0;0;0;0;0;1;1;1;[LEER];3;3;1;0;0;0;0;0;0;ZZ;1;P;
5;CH   01;GE   15;1;1;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;1;0;3;2;;;;;;;;;;;;;;0;0;1;0;0;0;1;;[LEER];4;4;0;0;1;1;0;0;0;Z4;2;P;24
128;CH   03;JU   10;1;1;1;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;3;2;;;;;;;;;;;;;;0;1;0;0;0;0;0;;[LEER];4;3;0;1;0;1;1;0;0;ZZ;;P;20
181;CH   10;HA   01;1;1;1;0;0;1;0;1;0;0;1;1;1;0;0;0;0;0;0;0;3;1;2;1;;;7;1;1;1;0;0;0;0;1;;;;;;;;1;[LEER];2;1;0;0;0;1;1;0;0;Z4;1;P;20
3;CH   21;CH   27;1;1;0;0;0;1;1;0;1;0;1;1;1;0;0;0;1;1;1;0;3;1;1;1;O;O;1;0;1;0;0;0;1;0;0;;;;;;;;1;[LEER];3;3;0;0;1;1;0;1;0;Z4;2;P;23
204;CL   13;KO   06;1;1;0;0;0;1;0;1;0;0;;1;0;0;1;1;1;1;0;0;2;1;1;1;0,5;O;Z;0;1;0;0;0;0;1;0;;;;;;;;1;[LEER];4;4;0;0;0;1;0;0;0;ZY;1;P;23
118;CL   17;AN   21;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;3;2;;;;;;;;;;;;;;0;0;0;1;0;0;0;1;[LEER];3;3;1;0;0;0;0;0;0;ZZ;1;P;20
163;CL   20;TH   01;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;0;3;2;;;;;;;;;;;;;;1;0;0;1;0;0;0;1;[LEER];2;1;0;0;1;1;1;0;0;ZZ;1;P;17
92;CL   25;HE   25;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;3;2;;;;;;;;;;;;;;1;0;1;0;0;0;0;1;[LEER];4;4;0;0;1;1;0;0;0;ZZ;2;P;25
153;CL   28;EK   01;1;1;0;0;0;0;1;0;0;0;;0;0;0;0;0;0;0;1;0;1;;;;;;;;;;;;;;;0;0;0;0;0;1;0;;[LEER];2;2;1;0;0;0;0;0;0;J1;2;P;22
108;CL   31;RE   26;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;2;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];3;3;1;0;0;0;0;0;0;ZZ;1;P;25
12;CO   10;JA   26;1;1;0;0;1;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;3;2;;;;;;;;;;;;;;1;1;0;0;0;0;0;1;[LEER];3;2;0;0;0;1;0;0;0;ZZ;1;P;17
156;DA   04;DI   11;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;1;0;3;2;;;;;;;;;;;;;;1;0;1;0;0;0;0;1;[LEER];4;3;0;0;0;1;0;0;0;ZZ;1;P;21
63;DA   06;ST   29;1;1;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;0;0;0;3;2;;;;;;;;;;;;;;;;;;;;;;[LEER];3;3;0;0;0;1;1;0;0;ZZ;1;P;27
53;DA   08;CL   18;1;1;0;0;1;1;0;1;0;1;1;1;0;0;0;0;1;1;0;0;3;1;1;1;O;D;5;1;1;1;0;0;0;1;1;;;;;;;;1;[LEER];3;4;0;0;1;1;1;0;0;Z4;1;P;18
192;DA   08;MI   30;1;1;1;0;1;0;0;1;1;0;1;1;1;1;1;1;1;0;0;0;3;2;;;;;;;;;;;;;;0;0;1;0;0;0;0;1;[LEER];3;3;0;0;0;1;1;0;0;ZZ;1;P;24
209;DO   06;MA   18;1;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;2;2;;;;;;;;;;;;;;0;0;1;0;0;0;0;1;[LEER];4;4;0;0;0;0;1;0;0;Z4;2;P;28
201;DO   07;ST   22;1;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;0;0;1;0;0;0;0;;[LEER];3;3;1;0;0;0;0;0;0;ZZ;1;P;21
13;DO   10;TH   14;1;1;1;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;3;2;;;;;;;;;;;;;;1;0;1;1;0;0;0;1;[LEER];4;4;0;0;0;1;0;0;0;Z4;2;P;23
7;ED   10;HA   20;1;1;0;1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;1;0;3;2;;;;;;;;;;;;;;1;0;1;0;0;1;0;1;[LEER];3;3;0;0;0;1;0;0;0;Z4;2;P;24
87;EL   01;SE   17;1;1;1;0;0;0;0;1;1;0;1;1;1;0;1;1;1;0;0;0;1;2;;;;;;;;;;;;;;1;1;1;0;0;0;0;;[LEER];2;3;0;0;1;1;0;0;0;ZZ;1;P;18
217;EL   03;GU   06;1;1;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;3;1;1;2;OI1;OI1;1;1;0;0;0;0;1;0;0;;;;;;;;1;[LEER];2;2;0;0;1;1;1;0;0;ZO;1;P;21
172;EL   04;WO   12;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];4;4;0;0;1;0;0;0;0;Z4;2;P;25
19;EL   07;DI   22;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;3;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];4;4;0;0;1;0;0;0;0;;;P;23
1;EL   09;GO   30;1;1;1;0;0;0;1;1;1;0;2;1;0;0;0;1;0;1;1;0;2;1;1;2;OO1;OOO;OOZ;0;1;1;0;0;1;0;0;;;;;;;;1;[LEER];3;4;0;0;0;0;0;0;1;Z4;1;P;26
44;EL   29;MI   17;1;1;0;0;0;0;0;1;1;1;1;1;1;0;0;1;1;0;0;0;;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];3;;0;1;0;1;0;0;0;Z6;1;P;24
23;ER   12;HE   20;1;1;0;1;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;0;3;1;1;3;^;1;1;1;0;0;0;0;1;0;0;;;;;;;;;[LEER];3;3;1;0;0;0;0;0;0;ZT;1;P;20
96;ER   24;GE   27;1;1;0;0;0;1;1;1;0;0;1;1;1;1;0;1;1;1;0;0;1;1;1;1;1;1;8;0;1;0;0;0;1;0;0;;;;;;;;;[LEER];3;2;0;0;1;0;1;0;0;ZY;1;P;19
213;EU   17;RO   12;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;3;2;;;;;;;;;;;;;;0;0;1;0;0;0;0;1;[LEER];4;4;0;0;0;0;1;0;0;ZZ;1;P;28
187;EU   25;RO   03;1;1;1;1;0;0;0;1;0;1;1;1;0;0;0;1;1;0;0;0;1;;;;;;;;;;;;;;;0;1;0;0;0;1;1;1;[LEER];2;2;0;0;0;1;0;0;1;Z5;1;P;18
149;EV   07;JE   10;1;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;3;2;;;;;;;;;;;;;;0;1;0;0;0;1;0;1;[LEER];3;1;;;;;;;;Z4;1;P;18
223;EZ   24;DI   27;1;1;0;0;0;0;1;1;0;0;1;1;0;0;0;1;1;0;1;0;3;2;;;;;;;;;;;;;;0;0;0;0;0;1;0;1;[LEER];3;3;0;0;0;1;1;0;0;ZZ;1;P;23
193;FA   06;RA   01;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;0;0;0;3;;1;2;;;;0;1;0;0;0;0;0;1;;;;;;;;1;[LEER];3;4;0;0;0;0;1;0;0;Z6;2;P;20
162;FA   15;SE   02;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;3;2;;;;;;;;;;;;;;1;0;1;0;0;0;0;1;[LEER];3;3;0;0;1;0;0;1;0;ZZ;1;P;22
85;FL   17;BU   30;1;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;3;2;1;1;0,1;O;Z;0;1;0;0;1;0;1;0;;;;;;;;1;[LEER];4;5;0;0;0;1;0;0;0;Z4;2;P;20
106;FR   07;GE   24;1;1;1;0;0;1;0;1;0;0;2;1;0;0;1;0;0;1;0;0;3;2;;;;;;;;;;;;;;1;0;0;1;0;0;0;1;[LEER];4;3;1;0;0;0;0;0;0;ZZ;2;P;25
140;FR   16;SI   09;1;1;1;0;0;0;0;1;1;0;1;1;0;0;1;0;1;0;0;0;2;2;;;;;;;;;;;;;;0;0;1;0;0;0;0;1;[LEER];;3;0;0;1;1;0;0;0;Z9;2;P;26
205;GA   08;GU   15;1;1;0;0;0;1;1;1;0;0;1;1;1;0;0;1;0;0;1;0;3;1;1;2;0,5;O;Z;0;1;1;0;0;0;1;1;;;;;;;;1;[LEER];3;3;0;1;0;0;0;0;0;ZZ;1;P;22
199;GA   31;FR   08;1;0;1;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;2;2;;;;;;;;;;;;;;1;0;1;1;0;0;0;1;[LEER];3;3;1;0;0;0;0;0;0;Z4;1;P;27
211;GA   31;UW   01;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];3;3;0;0;1;1;1;0;0;Z9;2;P;21
131;GI   16;PE   01;1;1;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;[LEER];3;3;0;0;0;0;1;0;0;ZZ;1;P;20
147;GM   20;IB   08;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;2;2;2;;.;;;;;;;;;;;0;1;0;0;0;0;0;2;[LEER];4;4;0;0;1;1;0;0;0;Z1;2;P;
91;GU   30;MA   09;1;1;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;3;2;;;;;;;;;;;;;;0;1;0;0;0;0;0;1;[LEER];4;2;0;0;0;1;0;0;0;ZZ;1;P;21
134;HA   28;GE   15;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;0;3;2;;;;;;;;;;;;;;0;0;0;0;0;1;0;1;[LEER];2;1;0;0;0;1;0;0;0;Z1;2;P;26
174;HE   03;CH   03;1;1;0;0;1;0;0;1;0;1;1;1;1;0;1;1;1;0;0;0;3;2;;;;;;;;;;;;;;0;0;1;0;0;0;0;1;[LEER];3;3;0;0;0;0;0;1;0;ZZ;1;P;24
176;HE   10;SI   26;1;1;1;0;1;0;0;1;0;0;1;1;0;0;1;1;1;1;0;0;3;2;;;;;;;;;;;;;;1;0;1;0;0;0;0;1;[LEER];4;4;0;0;1;0;0;0;0;ZZ;1;P;20
170;HE   11;RO   25;1;1;1;0;0;0;0;1;0;1;1;1;0;0;1;1;1;0;0;0;3;2;;;;;;;;;;;;;;0;0;1;0;0;0;1;1;[LEER];4;4;0;0;0;1;1;0;0;Z4;1;P;24
210;HE   17;CH   08;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;3;2;;;;;;;;;;;;;;1;0;1;0;0;0;0;1;[LEER];2;1;0;1;0;0;0;0;0;Z5;2;P;22
65;HE   20;TH   07;1;1;1;0;0;0;0;1;0;1;1;1;1;0;1;1;1;1;0;0;3;2;;;;;;;;;;;;;;1;0;1;0;0;1;1;1;[LEER];4;3;1;0;0;0;0;0;0;Z4;1;P;26
178;HE   28;UW   06;1;1;0;0;0;1;0;1;1;1;2;1;1;0;1;0;0;1;0;0;3;1;1;3;1;1;2;0;1;1;0;0;0;0;1;;;;;;;;1;[LEER];2;2;0;1;0;1;1;0;0;Z5;1;P;22
218;HI   01;CH   30;1;1;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;3;;;;;;;;;;;;;;;0;0;0;0;0;1;0;1;[LEER];2;3;0;0;1;1;1;0;0;Z7;2;P;18
72;HI   07;ST   12;1;1;0;0;0;0;0;0;0;0;2;1;1;0;0;1;0;0;0;0;1;2;;;;;;;;;;;;;;0;0;0;1;0;0;0;1;[LEER];4;4;0;0;1;0;0;1;0;ZZ;2;P;27
